implementation,optimization,workload,selection,milliseconds,rotations
c-ours,O0,insert,best,1480.047023,1151111
c-ours,O0,delete,best,1876.563111,781830
c-ours,O0,search,best,1694.834233,1360434
c-ours,O0,ascending,median,677.413084,1999979
c-ours,O0,mixed,median,677.800594,465689
c-classic,O0,insert,best,1426.149912,1151111
c-classic,O0,delete,best,1818.802017,781830
c-classic,O0,search,best,1595.960547,1360434
c-classic,O0,ascending,median,607.997802,1999979
c-classic,O0,mixed,median,617.258608,465689
cpp,O0,insert,best,1556.096341,1151111
cpp,O0,delete,best,1875.782516,781830
cpp,O0,search,best,1762.566212,1360434
cpp,O0,ascending,median,869.866299,1999979
cpp,O0,mixed,median,678.592027,465689
c-ours,O1,insert,best,677.102480,1151111
c-ours,O1,delete,best,1039.641741,781830
c-ours,O1,search,best,861.839805,1360434
c-ours,O1,ascending,median,223.642139,1999979
c-ours,O1,mixed,median,229.924816,465689
c-classic,O1,insert,best,686.145792,1151111
c-classic,O1,delete,best,1062.051096,781830
c-classic,O1,search,best,807.874867,1360434
c-classic,O1,ascending,median,228.650014,1999979
c-classic,O1,mixed,median,237.034232,465689
cpp,O1,insert,best,735.755908,1151111
cpp,O1,delete,best,1083.495880,781830
cpp,O1,search,best,846.566125,1360434
cpp,O1,ascending,median,185.531251,1999979
cpp,O1,mixed,median,249.905792,465689
c-ours,O2,insert,best,661.000956,1151111
c-ours,O2,delete,best,1040.960537,781830
c-ours,O2,search,best,802.282666,1360434
c-ours,O2,ascending,median,221.238036,1999979
c-ours,O2,mixed,median,227.230078,465689
c-classic,O2,insert,best,778.960038,1151111
c-classic,O2,delete,best,1075.240170,781830
c-classic,O2,search,best,893.609744,1360434
c-classic,O2,ascending,median,189.665912,1999979
c-classic,O2,mixed,median,246.642557,465689
cpp,O2,insert,best,741.543236,1151111
cpp,O2,delete,best,1058.213150,781830
cpp,O2,search,best,845.508109,1360434
cpp,O2,ascending,median,183.004986,1999979
cpp,O2,mixed,median,246.407709,465689
c-ours,O3,insert,best,687.404580,1151111
c-ours,O3,delete,best,1018.398620,781830
c-ours,O3,search,best,814.165389,1360434
c-ours,O3,ascending,median,219.484672,1999979
c-ours,O3,mixed,median,226.786700,465689
c-classic,O3,insert,best,775.524638,1151111
c-classic,O3,delete,best,1049.380533,781830
c-classic,O3,search,best,889.102502,1360434
c-classic,O3,ascending,median,191.297154,1999979
c-classic,O3,mixed,median,246.907111,465689
cpp,O3,insert,best,761.344838,1151111
cpp,O3,delete,best,1105.519430,781830
cpp,O3,search,best,888.363444,1360434
cpp,O3,ascending,median,186.945338,1999979
cpp,O3,mixed,median,246.831051,465689
rust,O3,insert,best,776.964512,1151111
rust,O3,delete,best,1050.872964,781830
rust,O3,search,best,901.104318,1360434
rust,O3,ascending,median,205.497412,1999979
rust,O3,mixed,median,256.906342,465689
